"","V1"
"1009","Tree, stand and site characteristics affecting the occurrence of lammas growth and multiple tops in field-grown Norway spruce@@@@@@Received: 29 November 2017 Accepted: 12 July 2018 Published: 16 July 2018 Issue Date: 15 March 2019@@@In the Nordic-Baltic region, there has been a growing concern about an increasing occurrence of multiple tops in young stands of Norway spruce. There is however a lack of documentation on the amount of such damages, and the causal agents involved. In two separate studies in SE Norway, we assessed the frequency of multiple tops in young sapling-sized stands, and studied the relationship between the occurrence of multiple tops and lammas growth the previous growing season on the sample trees. Study 1 included 44 planted and 10 naturally regenerated stands, while Study 2 included 68 planted stands with information on seed source. Among sample trees with multiple tops, 57% (Study 1) and 32% (Study 2) had signs of lammas growth the previous autumn, either in the form of an extended leading shoot or swollen bud. Site index as well as sample tree height were positively correlated to the occurrence of both lammas growth and multiple tops in both studies. In Study 1 we show that the probability of lammas growth was significantly higher in planted than in naturally regenerated stands. In Study 2 we show that it was higher in stands planted with seedlings grown from stand-origin seeds compared with improved seed material. Furthermore, the results of both studies show that lammas growth occurs most frequently among the dominant trees in the stand.@@@Autumn bud flush
Climate change
Picea abies
Regeneration
Second flush"
"1010","The recreational value of forests under different management systems@@@@@@Received: 09 November 2017 Accepted: 12 July 2018 Published: 17 July 2018 Issue Date: 15 March 2019@@@Forest degradation is a severe threat to the provision of ecosystem services, such as timber production, biodiversity and hydrogeological protection. Forest abandonment is one of the main causes of forest degradation in Mediterranean areas where the low value-added of forest activities affects economic sustainability. This issue requires urgent restoration actions which must be supported by cost–benefit analysis that comprises all forestry activities that generate income, including the recreational ones. In effect, while the impact of forest management systems on timber production is well studied, the impact of recreational values is not. The present article intends to demonstrate that different forms of forest management result in a differing willingness to pay (WTP) for maintaining the recreational use of forests. We collected 248 questionnaires from respondents who confirmed their WTP for the maintenance of the recreational function of forests under three management systems: coppice, active conversion to high forest, and the natural evolution of forests. Moreover, we tested the influence of certain socio-demographic variables on individual WTP. Users elicited a high preference for conversion to high forest, while natural evolution was the least preferred management system. Moreover, males and users with higher levels of education had a greater WTP for conversion to the high forest approach.@@@Forest management
Contingent valuation
Payment card
Random effects interval model"
"1011","The effects of four repellents on bank vole consumption and germination of beech nuts and acorns@@@@@@Received: 31 December 2017 Accepted: 24 June 2018 Published: 28 June 2018 Issue Date: 15 March 2019@@@Consumption and removal of buried seeds by granivorous rodents is one of the major problems when direct seeding is applied for restoration of oak (Quercus robur) and European beech (Fagus sylvatica) forests. In this laboratory study, the use of four seed treatments to potentially reduce bank vole (Myodes glareolus) consumption of beech nuts and acorns and a control was evaluated using a no-choice feeding set-up. The five seed treatments were: Chili (Capsicum chinense)/coconut fat, citronella (Cymbopogon winterianus)/rapeseed oils, mink (Mustela vision) excrement, sand coating as a physical barrier and a control. Seed germination tests were carried out with all the treatments. A total of 40 bank voles were individually given access to beech nuts or acorns at a rate of one treatment per day during two sessions. Mink excrement and chili/coconut fat treatments greatly reduced the consumption of beech nuts, and also reduced touching of beech nuts and acorns. In contrast, the sand coating treatment increased the consumption of both types of seeds. Germination of both beech nuts and acorns was reduced by the chilli/coconut fat and citronella/rapeseed oils treatments. Our results suggest that mink excrement has a potential as an effective repellent against bank voles when direct seeding is applied. However, further studies to determine the best method of application, as well as the efficiency under field conditions, are needed before definitive recommendations can be given to restoration managers.@@@Broadleaved forests
Pest-management
Regeneration
Sowing
Seed predation"
"1012","Should we use meshes or solid tube shelters when planting in Mediterranean semiarid environments?@@@@@@Received: 31 December 2017 Accepted: 24 June 2018 Published: 02 July 2018 Issue Date: 15 March 2019@@@Tree shelters in Mediterranean environments have a two-sided effect. They not only protect seedlings from browsing but also ameliorate microclimatic conditions, improving post-planting survival and growth. However, the ecophysiological basis of these effects are poorly understood. A factorial experiment combining light transmissivity and shelter type (solid tube vs. mesh wall) was carried out to assess the impact of contrasting microclimatic characteristics on seedling performance and physiological stress levels of shelters in two Mediterranean shrubland species (Quercus coccifera and Rhamnus lycioides) planted in a semiarid site. Even though seedlings in solid tube shelters experienced higher temperature and were slightly more photoinhibited, they had higher predawn water potential and, in general, better survival and growth than in mesh wall shelters. However, these effects were species-specific, with Rh. lycioides more favoured by solid wall shelters than Q. coccifera. However, root growth cannot explain these interactions between species and shelter type on seedling survival. Since light transmission had a marginal effect compared with wall type, we proposed that the observed effects and interaction with species are not dependent on light intensity or temperature but on other microclimatic differences like air velocity or light quality and distribution. Further studies should assess the importance of these factors on post-planting growth and physiological stress levels, which can be critical for matching the correct tree shelters type for each species in plantations in semiarid environments.@@@Afforestation
Restoration
Water potential
Chlorophyll fluorescence
Quercus coccifera
Rhamnus lycioides"
"1013","Effect of soil preparation method on root development of P. sylvestris and P. abies saplings in commercial forest stands@@@@@@Received: 19 December 2017 Accepted: 03 June 2018 Published: 08 June 2018 Issue Date: 15 March 2019@@@Soil preparation is a common practice that precedes outplanting of Norway spruce (Picea abies) and Scots Pine (Pinus sylvestris) in boreal forests. It has been proven to enhance the survival and early growth of seedlings. ContainerizedP. abies and P. sylvestris saplings were excavated 1–3 years after outplanting in clear cut forests across Latvia. The excavated saplings were grown in forests that had been prepared either using site mounding or disc trenching soil preparation method. The aim was to determine the effects of soil preparation method used on the root depth, dry mass and orientation. Saplings are forming deeper root system that expand evenly when planted on mounds, yet the root dry mass was not affected by soil preparation method or soil type. Seedlings planted in trenched sites formed two-sided root system, parallel to the furrow. No correlation between roots growing direction and cardinal points was found.@@@Mounding
Disc trenching
Root orientation
Forest regeneration"
"1014","Exploring drivers and dynamics of early boreal forest recovery of heavily disturbed mine sites: a case study from a reconstructed landscape@@@@@@Received: 15 December 2017 Accepted: 23 May 2018 Published: 28 May 2018 Issue Date: 15 March 2019@@@Ecological processes driving tree success in the early stages of succession are complex and often poorly understood, involving direct and indirect relationships among multiple agents modulated by legacies. Reclamation areas of open-pit mines provide a unique opportunity to study these relationships, as these sites are often homogeneous and have few ecological legacies. Our study evaluated the early performance of three boreal tree species planted at different densities over a large reclaimed landscape (57 ha) in northern Alberta, Canada, that varied in landscape topography, surface soils, and coarse woody material. A range of soil, topographical, and seedling characteristics were measured over five growing seasons. The two surface soils had stark differences in their physical and chemical properties. Overall, seedling survival was high (> 80%) for jack pine (Pinus banksiana) and white spruce (Picea glauca) and somewhat lower (60%) for trembling aspen (Populus tremuloides). All three species grew taller in the fine-textured than in the coarse-textured soils. Linear models identified simple relationships among some of the monitored variables. To further explore more complex relationships, we built a structural equation model for jack pine growth, 2 and 5 years after planting. On coarse-textured soil, the factors controlling pine growth shifted from intrinsic factors of seedling quality in the second growing season to more complex interactions in the fifth growing season, driven by soil nutrients, water availability and colonizing vegetation. We believe these models have the potential to be useful in forest reclamation, by identifying driving factors that could be monitored to indicate reclamation success.@@@Forest restoration
Pinus banksiana
Populus tremuloides
Structural equation model
Seedling survival
Environmental drivers of growth"
"1015","Organic matter accumulation in reclaimed soils under spruce, poplar and grass in the Alberta Oil Sands@@@@@@Received: 13 January 2018 Accepted: 06 May 2018 Published: 15 May 2018 Issue Date: 15 March 2019@@@Fundamental to the success of forest restoration following major disturbances such as mining is development of a functioning soil, including the amount, properties and rates of accumulation of soil organic matter (SOM). SOM enters mineral soil through leaching of dissolved organic matter from the forest floor; macrofaunal processing of above-ground litter and mixing with soil (bioturbation); and direct deposition of root litter and rhizodeposits. Our study focused on how SOM accumulation in reclaimed mineral soils was affected following re-vegetation with three vegetation treatments: deciduous trees (Populus tremuloides Mitchx. and Populus balsamifera L.), spruce trees (Picea glauca (Moench) Voss.) and grasses (Festuca sp., Bromus inermis), compared to the natural boreal forest. Seventeen sites were studied: 4 reclaimed Deciduous, 5 reclaimed Spruce, 4 reclaimed Grass, and 4 Natural forest. Concentrations of soil organic matter in the upper 30 cm of soil were highest at the Deciduous sites and lowest at Natural sites. SOM concentrations in the top 10 cm of soil were elevated relative to 10–30 cm soil at the Deciduous and Grass sites. The elevated SOM in the upper soil at Deciduous and Grass sites was associated with greater macrofauanal activity and higher root biomass at these sites. The higher macrofaunal activity in the surface organic layer and greater amounts of faunal fecal material in the uppermost cm of soil at Deciduous and Grass sites indicate greater enrichment of upper soil by macrofauna at these sites. SOM concentrations were significantly positively related to root abundance at Grass sites (indicating a contribution of roots to SOM), and a similar trend was apparent at the Deciduous sites. The elevated organic matter concentrations in the upper 10 cm of soil at the Deciduous and Grass sites suggest that planting of aspen following reclamation would hasten C sequestration into soil organic matter.@@@Picea
Populus
Soil fauna
Roots
Restoration"
"1016","Production, restoration, mitigation: a new generation of plantations@@@@@@Received: 05 December 2017 Accepted: 20 April 2018 Published: 26 April 2018 Issue Date: 15 March 2019@@@Forests provide a wide variety of ecosystem services and international conventions and national policies for climate change mitigation and biodiversity conservation recommend forest protection and restoration. However, global forest cover continues to decline, and recent evidence suggests deforestation rates are accelerating. Against this background the area of planted forests has increased globally. Recognizing the substantial potential of well-managed forest plantations, the new generation plantations (NGP) platform was launched in 2007. NGP encourages well-managed planted forests in the right places to conserve biodiversity and meet human needs. Here we describe the NGP approach and analyze data and information from NGP participants and others over 10 years. This shows that NGP participants are responsible for c.11.1 million ha of land, much of it previously degraded or abandoned; 43% is managed as timber plantations, with the remainder being wildlife reserves, restored natural forest, grassland and agriculture. NGP case studies illustrate a range of biodiversity, conservation and socio-economic achievements. These achievements, considered together with future projections of timber demand and of the land available for restoration to tree cover, demonstrate the potential of well-managed plantations to protect natural forests, provide timber, conserve biodiversity and mitigate climate change. The NGP concept works in a variety of countries and contexts; participants have shown that it is possible to produce timber while maintaining and enhancing ecosystems and contributing to socio-economic development. We present the case for forest production, restoration and mitigation/adaptation to limit climate and other environmental risks and to improve the resilience of landscapes.@@@Afforestation
Reforestation
Restoration
Conservation
Adaptation
Mitigation"
"1017","Breeding and scientific advances in the fight against Dutch elm disease: Will they allow the use of elms in forest restoration?@@@@@@Received: 31 December 2017 Accepted: 03 April 2018 Published: 17 April 2018 Issue Date: 15 March 2019@@@Elms (Ulmus spp.) were once dominant trees in mixed broadleaf forests of many European territories, mainly distributed near rivers and streams or on floodplains. Since ancient times they have provided important services to humans, and several selected genotypes have been massively propagated and planted. Today elm populations are severely degraded due to the negative impact of human-induced changes in riparian ecosystems and the emergence of the highly aggressive Dutch elm disease pathogens. Despite the death of most large elm specimens, there is no evidence of genetic diversity loss in elm populations, probably due to their ability to resprout after disease. The recovery of elm populations from the remaining diversity should build from genomic tools that facilitate achievement of resistant elm clones. Research works to date have discerned the genetic diversity of elms and are well on the way to deciphering the genetic clues of elm resistance and pathogen virulence, key findings for addressing recovery of elm populations. Several tolerant clones suitable for use in urban and landscape planting have been obtained through traditional species hybridization with Asian elms, and various native clones have been selected and used in pilot forest restoration projects. Successful reintroduction of elms should also rely on a deeper understanding of elm ecology, in particular their resilience to abiotic and biotic disturbances. However, all these efforts would be in vain without the final acceptance of elm reintroduction by the social actors involved, making it necessary to evaluate and publicize the ecosystem services elms can provide for today’s society.@@@Ulmus
Dutch elm disease
Ophiostoma novo-ulmi
Restoration
Breeding"
"1018","Integrating forest biodiversity conservation and restoration ecology principles to recover natural forest ecosystems@@@@@@Received: 03 October 2017 Accepted: 27 February 2018 Published: 03 March 2018 Issue Date: 15 March 2019@@@Effective conservation of forest biodiversity and effective forest restoration are two of the biggest challenges facing forest managers globally. I present four general principles to guide strategies aimed at meeting these challenges: (1) protect and restore populations of key species and their habitats, (2) conserve and restore key attributes of stand structural complexity, (3) maintain and restore natural patterns of landscape heterogeneity, and (4) maintain and restore key ecological processes. The complexity associated with these principles is that how they will be practically implemented on the ground will invariably be ecosystem specific as what constitutes stand structural complexity or landscape heterogeneity will vary between ecosystems. Here I demonstrate the practical application of the four general principles in a detailed case study of conservation and restoration in the Mountain Ash (Eucalyptus regnans) forests of the Central Highlands of Victoria, south-eastern Australia. These forests are characterized by declining species, loss of key elements of stand structural, loss of old growth forest, altered patterns of landscape heterogeneity, and altered ecosystem processes. I highlight how altered management practices in Mountain Ash forests that are guided by our four general principles can help conserve existing biodiversity and underpin effective forest restoration. Consideration of our general principles also can identify policy deficiencies that need to be addressed to enhance restoration and biodiversity conservation.@@@Forest biodiversity conservation
Restoration ecology
Landscape heterogeneity
Biodiversity"
"1019","How can my research paper be useful for future meta-analyses on forest restoration plantations?@@@@@@Received: 27 November 2017 Accepted: 16 February 2018 Published: 19 February 2018 Issue Date: 15 March 2019@@@Statistical meta-analysis is a powerful and useful tool to quantitatively synthesize the information conveyed in published studies on a particular topic. It allows identifying and quantifying overall patterns and exploring causes of variation. The inclusion of published works in meta-analyses requires, however, a minimum quality standard of the reported data and information on the methodology used. Our experience with conducting a meta-analysis on the relationship between seedling quality and field performance is that nearly one third of the apparently relevant publications had to be discarded because essential data, usually statistical dispersion parameters, were not properly reported. In addition, we encountered substantial difficulty to explore the effect of covariates due to the poor description of nursery cultivation methods, plantation location, and management in a significant proportion of the selected primary studies. Thus, we present guidelines for improving methodology detail and data presentation so that future forest restoration-oriented research can be more readily incorporated into meta-analyses. In general, research studies should report data on means, sample size, and any measure of variation even if they are not statistically significant. The online availability of raw data is the best practice to facilitate the inclusion of primary research on meta-analyses. Providing full information about the production of nursery seedlings, such as plant material and experimental conditions, is essential to test whether these procedures might have an effect on seedling quality. In addition, detailed information about field trials such as site climate, soil preparation techniques, previous land use, or post-plantation management, is needed to elucidate whether seedling quality is context-dependent. Thus, we provide a detailed checklist of important information that should be included when reporting forest restoration research involving the use of nursery-produced seedlings. All this will help to quantitatively synthetize current state-of-knowledge and thus contribute to the advancement of the forest restoration discipline.@@@Data quality
Data reporting
Meta-analysis
Methodology guideline
Seedling quality
Research synthesis"
"1020","Effects of pre-severance irradiance on the growth of Allanblackia floribunda Oliv. stockplants and on the subsequent rooting capacity of leafy stem cuttings@@@@@@Received: 20 April 2018 Accepted: 15 August 2018 Published: 27 August 2018 Issue Date: 15 May 2019@@@The rooting of Allanblackia stem cuttings is typically slow and with the formation of very few roots. Irradiance has positive effects on the relative growth of plants and rooting ability, but there is no information relating to Allanblackia species. Stumps of Allanblackia floribunda Oliv. were grown under three levels of irradiance (2008 µmol m−2s−1, 542 µmol m−2s−1 and 160 µmol m−2s−1) and were assessed for growth (plant height and the number of cuttings) and the influence of irradiance on the rooting ability of leafy stem cuttings. Shade light regime 542 µmol m−2s−1 resulted in significantly greater stockplant height than in 160 and 2008 µmol m−2s−1. Significantly more useable cuttings were harvested from the tall plants under an irradiance of 542 µmol m−2s−1, fewer from 160 µmol m−2s−1, and the least from 2008 µmol m−2s−1. The rooting ability of cuttings was greatest from stockplants receiving 542 µmol m−2s−1 (> 60%) and least from those receiving 160 µmol m−2s−1 (20%). 45% of cutting rooted from stockplants under full sun (2008 µmol m−2s−1). The speed of rooting of cuttings followed the same ranking with the fastest rooting from plants receiving 542 µmol m−2s−1 (7.1 ± 1.04 weeks to reach 25% of rooting) and the slowest from those under 160 µmol m−2s−1 (12.3 ± 1.85 weeks to reach 25% of rooting). The results of this study demonstrate that the light management of A. floribunda stockplants is important for the maximization of the yielding of cutting and the speed of rooting of leafy stem cuttings. Tree plantation being a key option to alleviate environmental challenges that the world is facing today, these results confirm previous findings which postulates that appropriate light management in stockplants can increase the production speed of required seedlings.@@@Number of cuttings
Rooting percentage
Shoot length
Shade level
Speed of rooting"
"1021","Effects of stone pine (Pinus pinea L.) plantation spacing on initial growth and conelet entry into production@@@@@@Received: 19 December 2017 Accepted: 11 August 2018 Published: 16 August 2018 Issue Date: 15 May 2019@@@Stone pine (Pinus pinea L.) is well-known for its fruits, the pine nuts, which are considered a delicacy and are the most expensive dry fruits in the world. This fruit is harvested mostly from natural forests, and limited advances have been made for cultivating it as a fruit tree. This study was aimed at assessing the effect of plantation spacing and seed source on early fruiting of stone pine plantations for pine nut production in Chile. We tested two plantation spacings (5 × 5 and 7 × 7 m) and three local seed sources (Tanumé, Cáhuil and Chillán), selected according to the current cultivation practices in Chile in a multi-environment trial involving four sites. Plantations were repeatedly measured annually for 6 years after establishment. High environmental effects as well as interactions between environment and management techniques were observed for all growth variables. Spacing had effects on crown development at all sites except for the most limiting one, but not on height or root-collar diameter. The lowest density (7 × 7 m) was associated with the highest crown diameter. Effects of seed source varied across environments, being significant for growth variables in both environments with poor growth. Young plantations (5 and 6 years old) showed a trend that suggests a higher precocity of entry into fruiting and higher strobili production for the 7 × 7 m than for 5 × 5 m spacing. Our results suggest that plantations can be effective for stone pine fruit production in Chile, and the convenience of developing environment-specific plantation designs, considering spacing as a relevant parameter for orchard establishment and management.@@@Initial cone production
Fruiting
Plantation density
Stone pine cropping"
"1022","Short-day treatment affects growth, physiological parameters and needle proteome of Chinese pine (Pinus tabuliformis Carr.) seedlings@@@@@@Received: 08 December 2017 Accepted: 11 August 2018 Published: 17 August 2018 Issue Date: 15 May 2019@@@Previous studies have proven that short-day treatment is an effective means to regulate shoot growth and abiotic stress resistance in conifers. However, the effects on Chinese pine (Pinus tabuliformis) seedlings are less well known. In this study, short-day treatments were applied to container-grown Chinese pine seedlings by artificially reducing day length to 8 or 10 h for 3 weeks. Growth and physiological responses of the seedlings were evaluated. In addition, proteome analysis using two-dimensional electrophoresis in combination with MALDI-TOF/TOF MS analysis was performed on needles of the seedlings. Short-day treatments significantly affected seedling bud set, height, root collar diameter and number of first-order lateral roots (> 1 mm diameter at junction with taproot). Short-day treatments significantly enhanced the content of total chlorophyll, starch, abscisic acid, and lignin, and increased activity of phenylalanine ammonialyase, polyphenol oxidase, and peroxidase, but did not differ in the content of soluble sugar. We positively identified eight differentially expressed proteins induced by short-day treatments: oxygen-evolving enhancer protein 1, transcription factor VOZ1, ferredoxin-NADP reductase, leaf isozyme 1, protein MET1, glyceraldehyde-3-phosphate dehydrogenase, phosphoglycerate kinase 1, elongation factor Tu, and ribulose bisphosphate carboxylase/oxygenase activase. These proteins are mainly involved in photosynthesis, carbohydrate metabolism, as well as abiotic and biotic stress resistance. Our results suggest that short-day treatment is a way to produce high-quality Chinese pine seedlings in the nursery.@@@Short-day
Physiology
Proteomics
Stress resistance
Chinese pine"
"1023","Appropriate ultra-low seed moisture content stabilizes the seed longevity of Calocedrus macrolepis, associated with changes in endogenous hormones, antioxidant enzymes, soluble sugars and unsaturated fatty acids@@@@@@Received: 21 October 2017 Accepted: 09 August 2018 Published: 12 August 2018 Issue Date: 15 May 2019@@@Calocedrus macrolepis Kurz is a relic and endangered woody plant, which is naturally distributed in southwestern China and adjacent regions, and is known for its valuable timber. There is a serious bottleneck in C. macrolepis conservation: its seed vigor is lost rapidly after harvesting. To explore the feasibility of ultra-dry storage of the seeds of this species, seeds were dehydrated to five different moisture contents (MCs, 1–5%), and stored at ambient temperature for 5 years. Seeds stored at 2.1% or 3.0% had higher percentage germination than those stored than the non-dehydrated seeds. Furthermore, we measured quantitative changes in metabolic products, namely endogenous hormones, soluble sugars and fatty acids, and activities of antioxidant enzymes. Among four endogenous hormones investigated, the concentration of the auxin indole-3-acetic acid was not significantly different at different MCs, while there was a negative relationship between percentage germination and both gibberellic acid and cytokinin zeatin riboside concentrations, and a positive relationship between abscisic acid concentration and percentage germination. Seeds with MCs of 2.1 or 3.0% contained higher activities of the antioxidant enzymes glutathione reductase, ascorbate peroxidase, superoxide dismutase and catalase, corresponding to lower concentrations of malondialdehyde. Compared with seeds at other MCs, higher concentrations of sucrose, glucose, trehalose (but not fructose) and unsaturated fatty acids were maintained in seeds at 2.1% and 3.0% MCs. Therefore, we suggest that levels of certain endogenous hormones, antioxidant enzymes, soluble sugars and unsaturated fatty acids may help stabilize longevity of seed at ultra-low seed moisture content. Storage of seed of C. macrolepis at 2–3% MC at room temperature may be a useful method for conserving germplasm of this species and in facilitating nursery operations.@@@Calocedrus macrolepis
Ultra-dry seed storage
Antioxidant enzyme
Carbohydrate
Fatty acid"
"1024","Influence of crown thinning on radial growth pattern of Pinus taeda in southern Brazil@@@@@@Received: 30 March 2018 Accepted: 06 August 2018 Published: 09 August 2018 Issue Date: 15 May 2019@@@Loblolly pine is widely planted in southern Brazil. Despite its major relevance for the forestry sector, knowledge about its radial growth at different height levels is scarce—it is unprecedented for trees subjected to crown thinning. The following questions were answered: (1) how many competitors should be removed to favour the radial growth of potential crop trees? and (2) how long does it take to detect enhanced growth rates along the stem and how long do the effects last? The research design included four thinning treatments where competitor trees were removed in different intensities starting at age 5 years. At age 30 years, 20 trees from each thinning treatment were selected, of which cross-sectional discs were taken at 1.3 m, 25, 50 and 75% of commercial height. The removal of one competitor tree per potential crop tree is not sufficient to increase radial growth immediately after thinning—two competitors need to be removed. Growth responses were detected immediately at the tree base (1.3 m), but took ~ 3 and ~ 8 years to be detectable at 25% (~ 8 m) and 50% (~ 15 m) of commercial height. Positive influences on growth rate following thinning take longer to be detectable upwards in the stem than at the trees base. However, once present, enhanced growth rates last longer at higher levels than at the tree base.@@@Loblolly pine
Forest management
Growth response
Competition
Annual growth rings"
"1025","Correction to: How does light availability affect the aboveground biomass allocation and leaf morphology of saplings in temperate mixed deciduous forests?@@@@@@Published: 18 September 2018 Issue Date: 15 May 2019@@@@@@"
"1026","Regulating acorn germination and seedling emergence in Quercus pagoda (Raf.) as it relates to natural and artificial regeneration@@@@@@Received: 24 January 2018 Accepted: 23 July 2018 Published: 30 July 2018 Issue Date: 15 May 2019@@@Dormancy break and germination requirements for Quercus pagoda (Raf.) acorns were determined, as well as the effects of acorn pretreatment and post-germination temperatures on epicotyl emergence, seedling development, and seedling biomass accumulation. There was an inverse linear relationship between length of cold stratification (5/1 °C for 0–12 weeks) and cumulative germination percentages in all incubation temperatures (15/6, 20/10, 25/15, 30/20 °C). Acorns required 12 weeks of cold stratification to break dormancy. Gibberellic acid substituted for cold stratification; although, it was not as effective as 12 weeks cold stratification. At 16 weeks of cold stratification, 20% of acorns had germinated, and the remaining 80% of ungerminated acorns reached ≥ 97 ± 1% cumulative germination within 4 days in all incubation temperatures. Post-germination time to epicotyl emergence and to leaf flush was a function of temperature, and time decreased with increased temperatures. With light held constant (50 μmol m−2 s−1), seedlings accumulated greater biomass in temperatures > 20/10 °C. Q. pagoda acorns possess Type 2 nondeep physiological dormancy, and this allows for artificial manipulation of timing and duration of germination. Extending cold stratification 4 weeks beyond dormancy break (i.e., 16 weeks) yields more uniform germination across a range of temperatures. Epicotyl emergence, seedling development, and biomass accumulation may be regulated by manipulating growing temperature. In this study, the most uniform seedling cohort with the greatest total biomass was produced when acorns received 16 weeks of cold stratification, followed by transfer of germinants to 30/20 °C.@@@Oak regeneration
Acorn dormancy
Acorn germination
Oak seedling growth"
"1027","How does light availability affect the aboveground biomass allocation and leaf morphology of saplings in temperate mixed deciduous forests?@@@@@@Received: 28 January 2018 Accepted: 19 July 2018 Published: 25 July 2018 Issue Date: 15 May 2019@@@Light is the most important physical variable that affects patterns of biomass allocation. A quantitative understanding of biomass allocation patterns is crucial to quantifying ecosystem dynamics and might have many practical uses in silviculture. In this research, we investigated the allocation of the aboveground biomass to leaves, branches, and bole as well as leaf morphology, using 26 saplings of Alnus subcordata C. A. M., 26 of Carpinus betulus L., and 27 of Fagus orientalis L. within a wide gradient of light conditions. Saplings were harvested in August 2014 in temperate, mixed deciduous forests of northern Iran in three sites with similar topographic conditions. A linear mixed effect model was used to evaluate the effect of light and species. Moreover, we developed biomass allometric equations using nonlinear seemingly unrelated regression. Biomass allocation to different organs and all leaf morphological traits were different among species. Light affected biomass allocation to leaves as well as specific leaf area and the direction of the effect was different for each species. Branch and bole allocation, leaf area ratio, and leaf area index were not affected by light. The effect of the interaction between light and species was significant for leaf allocation, branch allocation and specific leaf area. Moreover, sapling size seems to be an important factor explaining the effect of light on biomass allocation. Deriving highly precise biomass equations was possible by just using diameter at breast height and height, and available light did not improve the precision of models.@@@Available light
Sapling size
Hyrcanian forests
Aboveground biomass
Leaf traits"
"1028","Modeling the height–diameter relationship and volume of young African mahoganies established in successional agroforestry systems in northeastern Brazil@@@@@@Received: 20 January 2018 Accepted: 19 July 2018 Published: 21 July 2018 Issue Date: 15 May 2019@@@The aim of this study was to fit and select height–diameter and stem volume equations for two African mahogany species (Khaya ivorensis and Khaya anthotheca) in the initial development phase (between 2 and 5 years old), established in agroforestry systems in northeastern Brazil. We used linear and nonlinear models to predict the total height (h) and stem volume (v), based on data from forest inventories and stem measurements of standing trees. We tested the following hypotheses: (1) the simple linear model is the most accurate to estimate the total height of young African mahogany trees in relation to different types of height–diameter models (linearized, nonlinear and those with transformed variables); (2) simple and double-entry stem volume models have the same precision in estimating the individual volume of young African mahogany trees. The results showed that the simple linear height–diameter model was most accurate to estimate the height of both African mahogany species. The age’s effect (young trees) and probably the predominantly monopodial development of the Khaya spp. trees sampled were discussed as the causes of the linear nature of the models that best described the height–diameter relationship. The stem volume equations for Khaya ivorensis and Khaya anthotheca were well adjusted. However, the double-entry Spurr’s model was more accurate than the other models for both species. Furthermore, for the Khaya ivorensis, the one-entry (diameter) Husch’s model generated similar stem volume estimates to Spurr’s model.@@@Khaya anthotheca
Khaya ivorensis
Forest inventory
Yield"
"1029","Relationships between reflectance and absorbance chlorophyll indices with RGB (Red, Green, Blue) image components in seedlings of tropical tree species at nursery stage@@@@@@Received: 21 December 2017 Accepted: 04 July 2018 Published: 06 July 2018 Issue Date: 15 May 2019@@@Methods based on RGB (Red, Green, Blue) image segmentation may emerge as a new and low-cost method for estimation the quality of tree seedlings. However, the vast number of indexes based on the use of the RGB image segmentation and the lack of references in the literature still hinder the widespread use of this technology. Thus, we conducted a study aiming to test the relationships between methods based on absorbance and reflectance, widely used for the estimation of chlorophyll contents and physiological status of trees, and ten indexes based on RGB component analysis. We used leaves of five tropical tree species, belonging to different botanical families. Leaf absorbance was measured using the handheld chlorophyll meter SPAD-502, reflectance was measured using a spectrometer and the RGB indices were obtained from digitalized images of the leaves using a flatbed scanner. Modified linear regression models including all five species were used to relate RGB indices to absorbance and reflectance indices. Data collected from leaves of seedlings of five tropical tree species indicated that digital image processing technology can be a useful and rapid nondestructive method for assessment of physiological status of tree seedlings at nursery stage. Among the RGB indexes tested in this study the R, 2R*(G − B)/(G + B) and 2G*(G − B)/(G + B) are the most promising for analysis the tropical seedlings physiological status and quality.@@@Leaf image analysis
Leaf reflectance
Multispecies regression model
Portable chlorophyll meters"
"1030","Crown thinning on Eucalyptus dunnii stands for saw- and veneer logs in southern Brazil@@@@@@Received: 03 February 2018 Accepted: 24 June 2018 Published: 27 June 2018 Issue Date: 15 May 2019@@@Eucalypt plantations occupy > 5 million ha in the warm regions of Brazil. In the southern highlands, however, forestry is dominated by Pinus taeda. The frost-tolerant Eucalyptus dunnii Maiden seems to be suitable for that area, but there are few case studies and very little information about managing eucalypt stands for multiple uses. Thinning and pruning are key silvicultural management practices for E. dunnii plantations that produce saw- and veneer-logs. With this study it was aimed to evaluate the use of crown thinning to produce large-diameter trees in Eucalyptus dunnii stands. At age 2 years, 200 potential crop trees (pct) per ha were selected, pruned, and released from competition in five different intensities: no thinning, three practice-oriented variants, and one extreme and early thinning. Experimental data was collected until the stands were 13 years old. The production of large-diameter log assortments (≥ 40 cm) was positively associated with thinning and was strongly dependent on the site quality. Optimal results occurred with initial densities of 1000 trees ha−1 associated with early and relatively aggressive thinning. However, the final selection of pct’s and their release from competitors should not take place before dominant trees can be efficiently recognized (h100 = 15 m). Following these recommendations, at age of 13 years, the production of 100 m3 ha−1 of big sized timber (> 40 cm) can be expected.@@@Forest management
Silviculture
Potential crop trees
Eucalypt timber
Eucalypt growth"
"1031","Correction to: Breeding and scientific advances in the fight against Dutch elm disease: Will they allow the use of elms in forest restoration?@@@@@@Published: 23 May 2018 Issue Date: 15 May 2019@@@@@@"
